comNum,comName,area
1,RogersPark,51259902.45
2,WestRidge,98429094.86
3,Uptown,65095642.73
4,LincolnSquare,71352328.24
5,NorthCenter,57054167.85
6,LakeView,87214799.27
7,LincolnPark,88316400.47
8,NearNorthSide,76675895.97
9,EdisonPark,31636313.79
10,NorwoodPark,121959105.5
11,JeffersonPark,64868161.68
12,ForestGlen,89130893.64
13,NorthPark,70288706.43
14,AlbanyPark,53542230.82
15,PortagePark,110196097.1
16,IrvingPark,89611382.31
17,Dunning,103595001.2
18,Montclare,27576393.63
19,BelmontCragin,109099414.7
20,Hermosa,32602059.41
21,Avondale,55290595.47
22,LoganSquare,100057566.7
23,HumboldtPark,100480876.5
24,WestTown,127562904.6
25,Austin,199254203.4
26,WestGarfieldPark,36092848.82
27,EastGarfieldPark,53883220.85
28,NearWestSide,158492466.6
29,NorthLawndale,89487422.02
30,SouthLawndale,127998297.9
31,LowerWestSide,81550723.64
32,Loop,46335565.46
33,NearSouthSide,49769639.45
34,ArmourSquare,27766196.1
35,Douglas,46004621.16
36,Oakland,16913961.04
37,FullerPark,19916704.87
38,GrandBoulevard,48492503.16
39,Kenwood,29071741.93
40,WashingtonPark,42373881.48
41,HydePark,45105380.17
42,Woodlawn,57815179.51
43,SouthShore,81812716.4
44,Chatham,82320670.31
45,AvalonPark,34852737.74
46,SouthChicago,93272185.01
47,Burnside,16995983.27
48,CalumetHeights,48826241.56
49,Roseland,134313706.7
50,Pullman,59001555.6
51,SouthDeering,303797059.7
52,EastSide,83241728.05
53,WestPullman,99365198.08
54,Riverdale,98389497.41
55,Hegewisch,145965741.4
56,GarfieldRidge,117890778.4
57,ArcherHeights,55922505.72
58,BrightonPark,75892790.31
59,MckinleyPark,39431799.65
60,Bridgeport,58291519.28
61,NewCity,134636963.3
62,WestElsdon,32711091.43
63,GagePark,61284896.11
64,Clearing,71145192.38
65,WestLawn,82315301.68
66,ChicagoLawn,98279465.12
67,WestEnglewood,87947691.95
68,Englewood,85652323.08
69,GreaterGrandCrossing,98853167.71
70,Ashburn,135460337.2
71,AuburnGresham,105065353.6
72,Beverly,88779363.94
73,WashingtonHeights,79635752.88
74,MountGreenwood,75584290.02
75,MorganPark,91877340.7
76,Ohare,371835607.7
77,Edgewater,48449990.84
