neib,comNameLong,comNum
Albany Park,Albany Park,14
Mayfair,Albany Park,14
North Mayfair,Albany Park,14
Ravenswood Manor,Albany Park,14
Archer Heights,Archer Heights,57
Armour Square,Armour Square,34
Chinatown,Armour Square,34
Wentworth Gardens,Armour Square,34
Ashburn,Ashburn,70
Ashburn Estates,Ashburn,70
Beverly View,Ashburn,70
Crestline,Ashburn,70
Marycrest,Ashburn,70
Parkview,Ashburn,70
Scottsdale,Ashburn,70
Wrightwood,Ashburn,70
Auburn Gresham,Auburn Gresham,71
Gresham,Auburn Gresham,71
Galewood,Austin,25
North Austin,Austin,25
South Austin,Austin,25
The Island,Austin,25
Avalon Park,Avalon Park,45
Marynook,Avalon Park,45
Stony Island Park,Avalon Park,45
Avondale,Avondale,45
Jackowo,Avondale,45
Wac?awowo,Avondale,45
Polish Village,Avondale,45
Belmont Central,Belmont Cragin,19
Brickyard,Belmont Cragin,19
Cragin,Belmont Cragin,19
Hanson Park,Belmont Cragin,19
Beverly,Beverly,72
East Beverly,Beverly,72
West Beverly,Beverly,72
Bridgeport,Bridgeport,60
Brighton Park,Brighton Park,58
Burnside,Burnside,47
Calumet Heights,Calumet Heights,48
Pill Hill,Calumet Heights,48
Chatham,Chatham,44
East Chatham,Chatham,44
West Chatham,Chatham,44
West Chesterfield,Chatham,44
Chicago Lawn,Chicago Lawn,66
Lithuanian Plaza,Chicago Lawn,66
Marquette Park,Chicago Lawn,66
Chicago Midway Airport,Clearing,64
Chrysler Village,Clearing,64
Clearing (E),Clearing,64
Clearing (W),Clearing,64
Clearing East,Clearing,64
Clearing West,Clearing,64
Bronzeville,Douglas,35
Dearborn Homes,Douglas,35
Groveland Park,Douglas,35
Ida B. Wells / Darrow Homes,Douglas,35
Lake Meadows,Douglas,35
Prairie Shores,Douglas,35
South Commons,Douglas,35
Stateway Gardens,Douglas,35
The Gap,Douglas,35
Belmont Heights,Dunning,17
Belmont Terrace,Dunning,17
Dunning,Dunning,17
Irving Woods,Dunning,17
Schorsch Village,Dunning,17
East Garfield Park,East Garfield Park,27
Fifth City,East Garfield Park,27
East Side,East Side,52
Andersonville,Edgewater,77
Edgewater,Edgewater,77
Edgewater Beach,Edgewater,77
Edgewater Glen,Edgewater,77
Lakewood - Balmoral,Edgewater,77
Lakewood / Balmoral,Edgewater,77
Magnolia Glen,Edgewater,77
Edison Park,Edison Park,9
Englewood,Englewood,68
Hamilton Park,Englewood,68
Edgebrook,Forest Glen,12
Forest Glen,Forest Glen,12
Old Edgebrook,Forest Glen,12
Sauganash,Forest Glen,12
South Edgebrook,Forest Glen,12
Wildwood,Forest Glen,12
Fuller Park,Fuller Park,37
Gage Park,Gage Park,63
Garfield Ridge,Garfield Ridge,56
LeClaire Courts,Garfield Ridge,56
Sleepy Hollow,Garfield Ridge,56
Vittum Park,Garfield Ridge,56
Grand Boulevard,Grand Boulevard,38
Legends South?(Robert Taylor Homes),Grand Boulevard,38
The Robert Taylor Homes,Grand Boulevard,38
Grand Crossing,Greater Grand Crossing,69
Greater Grand Crossing,Greater Grand Crossing,69
Park Manor,Greater Grand Crossing,69
Parkway Gardens,Greater Grand Crossing,69
