,lat,lng,price,htype,comm
0,41.965702,-87.711494,231500.0,Condo,Albany Park
1,42.010204,-87.66683,166500.0,Condo,Rogers Park
2,41.893677,-87.641045,442500.0,Condo,Near North Side
3,41.89314,-87.62934,291000.0,Condo,Near North Side
4,41.85074,-87.6233,409000.0,Condo,Near South Side
5,41.79364,-87.59442,205000.0,Condo,Hyde Park
6,41.972916,-87.651634,82000.0,Condo,Uptown
7,41.954292,-87.64716,130000.0,Condo,
8,41.93211,-87.65479,463000.0,Condo,DePaul
9,41.908,-87.62917,372500.0,Condo,Near North Side
10,41.949047,-87.644264,82000.0,Condo,
11,41.929565,-87.64684,875000.0,Condo,Lincoln Park
12,41.89152,-87.61278,410000.0,Condo,Near North Side
13,41.860558,-87.65969,112000.0,Condo,University Village / Little Italy
14,41.96325,-87.663345,210000.0,Condo,Uptown
15,41.928226,-87.6396,265000.0,Condo,Lincoln Park
16,41.871666,-87.6298,463500.0,Condo,Loop
17,41.892014,-87.6236,330000.0,Condo,Near North Side
18,41.89152,-87.61278,100000.0,Condo,Near North Side
19,41.928604,-87.66246,518000.0,Condo,DePaul
20,41.969917,-87.669235,127500.0,Condo,Ravenswood
21,41.962868,-87.70426,215000.0,Condo,Albany Park
22,41.969788,-87.76677,124000.0,Condo,Jefferson Park
23,41.897305,-87.67498,129000.0,Condo,Ukranian Village
24,41.925987,-87.639496,320000.0,Condo,Lincoln Park
25,41.88009,-87.654,703500.0,Condo,
26,41.82076,-87.60577,345000.0,Condo,Oakland
27,41.88552,-87.61469,460000.0,Condo,Loop
28,41.897755,-87.65725,367500.0,Condo,Goose Island
29,41.915,-87.639084,900000.0,Condo,Lincoln Park
30,41.892258,-87.62158,170000.0,Condo,Near North Side
31,41.8662,-87.6212,320000.0,Condo,Near South Side
32,41.90188,-87.62671,369000.0,Condo,Near North Side
33,41.88132,-87.65659,237000.0,Condo,
34,42.01044,-87.67998,233000.0,Condo,Rogers Park
35,41.987087,-87.66058,320000.0,Condo,Edgewater
36,41.892258,-87.62158,250000.0,Condo,Near North Side
37,41.874798,-87.685234,160000.0,Condo,Tri-Taylor
38,41.943024,-87.67295,505000.0,Condo,
39,41.86227,-87.62684,331500.0,Condo,Near South Side
40,41.871517,-87.63435,210000.0,Condo,Loop
41,41.904564,-87.62551,1090000.0,Condo,Near North Side
42,41.92913,-87.67183,905000.0,Townhouse,DePaul
43,41.935863,-87.65432,506000.0,Condo,
44,41.940502,-87.65571,530000.0,Condo,
45,41.97029,-87.686874,267000.0,Condo,Ravenswood
46,41.908253,-87.696045,119925.0,Condo,West Town
47,41.94997,-87.74119,360000.0,Townhouse,Irving Park
48,41.9296,-87.66488,965000.0,Townhouse,DePaul
49,41.953484,-87.69591,363000.0,Townhouse,Irving Park
50,41.87629,-87.64172,247000.0,Condo,
51,41.928635,-87.65904,425000.0,Condo,DePaul
52,42.010704,-87.66475,45000.0,Condo,Rogers Park
53,41.917503,-87.63716,869000.0,Condo,Lincoln Park
54,41.90033,-87.61995,880000.0,Condo,Near North Side
55,41.901337,-87.62888,690000.0,Condo,Near North Side
56,41.8991,-87.68805,355000.0,Condo,West Town
57,41.97692,-87.66926,72000.0,Condo,Edgewater
58,41.9413,-87.64872,295000.0,Condo,
59,41.88485,-87.61681,276000.0,Condo,Loop
60,41.890232,-87.618164,300000.0,Condo,
61,41.92606,-87.69344,375000.0,Condo,Bucktown
62,41.989876,-87.7774,153500.0,Condo,Jefferson Park
63,41.934727,-87.65307,340000.0,Condo,
64,41.902714,-87.626915,165000.0,Condo,Near North Side
65,41.954136,-87.64594,140000.0,Condo,
66,41.93481,-87.80698,49500.0,Condo,Dunning
67,41.92522,-87.644905,775000.0,Townhouse,Lincoln Park
