neibRank,neib,walkScore,tranScore,bikeScore,neibPop
1,Near North,98,94,73,"21,098"
2,Printers Row,97,100,65,"2,341"
3,Gold Coast,96,91,74,"30,051"
4,The Loop,96,100,78,"10,649"
5,River North,96,96,78,"7,915"
6,West Loop Gate,96,99,84,"6,047"
7,East Ukrainian Village,95,74,89,"7,170"
8,Ranch Triangle,95,80,73,"3,730"
9,Lincoln Square,95,68,77,"4,344"
10,Streeterville,94,95,80,"4,306"
11,Noble Square,94,76,86,"8,666"
12,Wicker Park,94,75,87,"11,183"
13,Park West,94,80,78,"12,051"
14,Old Town,93,86,66,"10,791"
15,Wrigleyville,93,85,73,"3,611"
16,Old Town Triangle,93,81,72,"7,946"
17,Sheffield Neighbors,93,78,78,"10,673"
18,Andersonville,93,72,73,"6,106"
19,Sheridan Park,93,76,84,"6,273"
20,Greektown,93,96,80,725
21,Fulton River District,92,96,83,"4,404"
22,Ukrainian Village,92,71,87,"5,908"
23,Lincoln Park,92,79,79,"14,409"
24,Chinatown,91,75,75,"4,693"
25,Uptown,91,78,81,"22,529"
26,Lake View,90,78,74,"51,713"
27,Lake View East,90,81,78,"37,695"
28,Bucktown,90,73,82,"17,368"
29,Dearborn Park,89,96,75,"3,470"
30,Magnolia Glen,89,74,68,"3,289"
31,Lakewood - Balmoral,89,77,69,"1,417"
32,Palmer Square,89,71,82,"7,719"
33,Near East Side,89,98,82,"5,918"
34,South Loop,89,89,79,"31,803"
35,West Town,89,76,76,"21,162"
36,Wrightwood Neighbors,89,79,79,"9,809"
37,Edgewater Glen,89,73,68,"2,335"
38,Pilsen,89,66,81,"12,274"
39,Edgewater,88,71,66,"11,533"
40,Ravenswood,88,68,81,"27,832"
41,Roscoe Village,88,68,73,"9,980"
42,Buena Park,88,79,80,"12,822"
43,Ravenswood Gardens,88,66,71,"1,273"
44,River West,87,83,77,"1,514"
45,North Center,87,67,75,"14,046"
46,South East Ravenswood,87,72,73,"1,992"
47,Cabrini Green,87,84,62,"1,261"
48,Rogers Park,85,75,71,"54,757"
49,Goose Island,85,80,69,"4,102"
50,Edgewater Beach,85,75,76,"30,698"
51,Logan Square,85,68,71,"84,600"
52,Albany Park,85,62,66,"56,303"
53,University Village / Little Italy,85,73,83,"18,049"
54,Irving Park,84,66,69,"13,850"
55,Graceland West,84,76,74,"3,153"
56,East Pilsen,84,68,86,"1,524"
57,Heart of Chicago,83,66,68,"19,951"
58,East Hyde Park,83,67,69,"10,907"
59,Hyde Park,82,67,72,"18,536"
60,West De Paul,82,70,71,"2,881"
61,Arcadia Terrace,82,56,62,"5,568"
62,Lathrop Homes,81,65,73,"3,636"
63,Bowmanville,81,61,71,"4,370"
64,Ravenswood Manor,81,63,71,"2,092"
65,Budlong Woods,81,59,68,"9,654"
66,East Chatham,81,63,55,"6,646"
67,Near West Side,81,80,79,"16,329"
68,Humboldt Park,81,67,71,"41,443"
69,Avondale,80,69,70,"18,050"
70,West Rodgers Park,80,58,59,"64,693"
71,Gladstone Park,79,62,63,"1,601"
72,Tri-Taylor,79,72,83,"3,209"
73,Heart of Italy,79,64,61,"1,233"
74,Peterson Park,79,56,76,"1,517"
75,Mayfair,78,65,70,"7,687"
76,North Park,78,58,69,"6,873"
77,Margate Park,78,77,84,"6,679"
78,Hermosa,78,60,55,"20,671"
79,Little Village,78,62,59,"80,500"
80,Bridgeport,77,62,70,"37,925"
81,South Old Irving Park,77,70,59,"1,341"
82,Illinois Medical District,77,70,87,"1,371"
83,Cragin,77,60,56,"38,800"
84,Horner Park,77,63,69,"3,292"
85,Stony Island Park,77,59,59,"3,578"
86,Old Irving Park,77,70,61,"11,752"
87,The Gap,76,74,68,"2,670"
88,Kelvin Park,76,60,58,"4,532"
89,North Mayfair,76,59,67,"7,137"
90,Kenwood,75,67,75,"6,400"
91,Hanson Park,75,62,52,"3,965"
92,North Austin,75,62,52,"23,835"
93,Chatham,75,67,52,"18,924"
94,Chicago Lawn,75,58,55,"18,523"
95,South Shore,75,66,62,"43,374"
96,Belmont Central,75,59,58,"30,870"
97,Kilbourn Park,75,66,57,"7,306"
98,Lake Meadows,74,64,70,"2,749"
99,Belmont Gardens,74,61,59,"12,874"
100,Marynook,74,59,53,"2,430"
101,Avalon Park,73,63,56,"3,519"
102,South Austin,73,67,53,"56,934"
103,Homan Square,73,70,58,"4,976"
104,Jackson Park Highlands,73,69,61,"1,570"
105,Canaryville,73,65,48,"5,251"
106,Ida B. Wells / Darrow Homes,73,63,68,"3,618"
107,McKinley Park,73,62,54,"14,213"
108,Bronzeville,72,69,64,"29,555"
109,West Garfield Park,72,69,55,"14,149"
110,Back of the Yards,72,60,56,"38,862"
111,Winneconna Parkway,72,67,50,684
112,West Humboldt Park,72,63,52,"14,181"
113,Portage Park,72,60,55,"43,331"
114,Montclare,71,59,53,"16,350"
115,Jefferson Park,71,65,61,"41,370"
116,Lithuanian Plaza,71,57,50,"1,174"
117,North Kenwood,71,64,71,"4,667"
118,Gage Park,71,60,53,"39,572"
119,West Woodlawn,71,71,61,"7,745"
120,Hollywood Park,71,55,65,"6,050"
121,Archer Heights,70,64,54,"57,612"
122,The Villa,70,73,61,682
123,Schorsch Village,70,56,54,"7,209"
124,Pulaski Park,70,54,57,"3,684"
125,Brighton Park,70,60,53,"46,460"
126,Brainerd,69,65,50,"13,085"
127,Douglas Park,69,67,68,"2,596"
128,The Island,69,67,61,"1,999"
129,East Garfield Park,69,72,60,"20,831"
130,Gresham,69,61,50,"50,358"
131,Park Manor,69,71,58,"15,217"
132,Groveland Park,68,57,68,609
