,comName_cen2010,comPop2010,medInc2010,comNum,comNameLong,walkScore,tranScore,bikeScore,comPop,comName,area,Pr2010,Pr2011,Pr2012,Pr2013,Pr2014,HOM_TA2010,BAT_TA2010,BUR_TA2010,ROB_TA2010,NAR_TA2010,ALL_TA2010
0,Rogers Park,54991,39482,1,Rogers Park,85.0,75.0,71.0,54757.0,RogersPark,51259902.45,150162.5,123395.83333333334,101929.16666666666,103137.5,116000.0,3.6666666666666665,1175.0,335.6666666666667,283.1666666666667,848.1666666666666,6592.833333333333
1,West Ridge,71942,47323,2,West Ridge,80.33333333333333,56.666666666666664,65.66666666666667,71778.0,WestRidge,98429094.86,133808.33333333334,108216.66666666667,89633.33333333333,88433.33333333333,101385.71428571429,3.0,813.0,415.3333333333333,168.0,360.0,5454.333333333333
2,Uptown,56362,40324,3,Uptown,87.5,77.5,82.25,48303.0,Uptown,65095642.73,236750.0,213783.3333333333,199340.0,211105.0,226037.14285714287,2.8333333333333335,1038.3333333333333,246.83333333333334,189.0,868.1666666666666,6164.333333333333
3,Lincoln Square,39493,57749,4,Lincoln Square,86.6,64.4,73.6,47473.0,LincolnSquare,71352328.24,211183.33333333334,187023.3333333333,168625.0,177391.66666666666,197722.85714285713,1.6666666666666667,410.6666666666667,205.5,64.66666666666667,140.0,2912.5
4,North Center,31867,81524,5,North Center,83.25,65.75,72.5,30954.0,NorthCenter,57054167.85,319839.5833333334,297454.1666666667,287152.0833333334,305475.0,331971.42857142864,1.25,257.6666666666667,239.83333333333334,50.333333333333336,113.5,2588.1666666666665
5,Lake View,94368,70746,6,Lake View,88.8,78.4,74.4,98164.0,LakeView,87214799.27,312851.1904761904,289990.47619047615,278554.76190476184,295846.4285714285,319195.91836734704,2.4,934.3333333333334,642.1666666666666,265.3333333333333,286.0,7834.833333333333
6,Lincoln Park,64116,82707,7,Lincoln Park,91.14285714285714,78.14285714285714,75.71428571428571,61499.0,LincolnPark,88316400.47,366147.435897436,352207.0512820513,344094.23076923075,367986.53846153844,396512.08791208797,1.3333333333333333,611.8333333333334,490.8333333333333,179.0,128.33333333333334,6487.0
7,Near North Side,80484,76290,8,Near North Side,93.25,90.75,70.875,81865.0,NearNorthSide,76675895.97,368324.2424242424,351885.606060606,343078.03030303033,375112.87878787884,404584.41558441555,4.833333333333333,1793.6666666666667,332.1666666666667,327.0,860.8333333333334,13350.0
8,Edison Park,11187,77678,9,Edison Park,65.0,52.0,51.0,10978.0,EdisonPark,31636313.79,173250.0,142225.0,121325.0,118091.66666666667,131685.7142857143,,64.5,20.666666666666668,2.6666666666666665,5.5,412.3333333333333
9,Norwood Park,37023,64477,10,Norwood Park,55.333333333333336,53.5,51.5,35951.0,NorwoodPark,121959105.5,160175.0,129508.33333333333,113075.0,117641.66666666667,125614.28571428571,1.5,245.5,101.5,14.666666666666666,48.333333333333336,1749.3333333333333
