,block_tract,points,Population,Area,AllRaces,Black,Households,NonfamilyHouseholds,RelNonrel,Nonrelatives,AllRaceCounts,MixedRace,OccupiedHousing,RentedHouseholds
0,0610098.006,"[[-73.967607, 40.756132], [-73.967152, 40.756766], [-73.964786, 40.755756], [-73.96524, 40.75513], [-73.965696, 40.754504999999995], [-73.968065, 40.755503999999995], [-73.967607, 40.756132]]",1582,         36469,1624,33,1582,942,1026,139,1582,37,1026,784
1,0610098.007,"[[-73.96852, 40.754877], [-73.968065, 40.755503999999995], [-73.965696, 40.754504999999995], [-73.966157, 40.753878], [-73.96852, 40.754877]]",831,         18202,845,18,831,525,581,64,831,13,581,463
3,0610099.001,"[[-74.00596, 40.745231], [-74.006385, 40.744645999999996], [-74.006811, 40.744060999999995], [-74.007238, 40.743469999999995], [-74.00820499999999, 40.742143999999996], [-74.00881, 40.742377999999995], [-74.009331, 40.742571999999996], [-74.01228499999999, 40.74387], [-74.009456, 40.743521], [-74.00876099999999, 40.746674999999996], [-74.011403, 40.747991999999996], [-74.00861499999999, 40.747679], [-74.009996, 40.74893], [-74.008218, 40.753059], [-74.003714, 40.75958], [-74.004913, 40.76045], [-74.003427, 40.759968], [-74.00294199999999, 40.759730999999995], [-73.99866899999999, 40.757706], [-73.997306, 40.75711], [-73.99820799999999, 40.755869], [-73.999143, 40.754585], [-73.999633, 40.753918], [-74.00052699999999, 40.752688], [-74.00094299999999, 40.752105], [-74.00143, 40.751445], [-74.002785, 40.749592], [-74.003236, 40.748974], [-74.00368399999999, 40.748355], [-74.00394399999999, 40.747997], [-74.00416799999999, 40.74769], [-74.00465299999999, 40.747023], [-74.005107, 40.746401999999996], [-74.005535, 40.745816], [-74.00596, 40.745231]]",1945,       1007102,2015,196,1945,1057,1091,220,1945,67,1091,729
4,0610100.001,"[[-73.971451, 40.757749], [-73.97282, 40.75587], [-73.97443899999999, 40.756555999999996], [-73.971696, 40.760312], [-73.971243, 40.760937], [-73.969625, 40.760251], [-73.971451, 40.757749]]",594,         86975,603,54,594,243,288,43,594,9,288,130
5,0610102.001,"[[-73.971696, 40.760312], [-73.97443899999999, 40.756555999999996], [-73.977655, 40.757912], [-73.976744, 40.759164999999996], [-73.97537299999999, 40.76104], [-73.974915, 40.761666999999996], [-73.974457, 40.762293], [-73.972852, 40.761614], [-73.971243, 40.760937], [-73.971696, 40.760312]]",230,        172891,238,24,230,87,117,12,230,8,117,60
8,0610106.023,"[[-73.959722, 40.758663], [-73.958356, 40.760539], [-73.957888, 40.761175], [-73.956519, 40.760569], [-73.956454, 40.760535], [-73.956126, 40.760401], [-73.958207, 40.758528], [-73.95859899999999, 40.758133], [-73.95872899999999, 40.758165999999996], [-73.95907199999999, 40.758398], [-73.959722, 40.758663]]",1030,         44851,1064,16,1030,265,437,74,1030,34,437,436
9,0610108.003,"[[-73.965293, 40.759308], [-73.964503, 40.758973999999995], [-73.962925, 40.758309], [-73.96341199999999, 40.757636999999995], [-73.965783, 40.758632], [-73.965293, 40.759308]]",1415,         19535,1429,16,1415,657,833,96,1415,14,833,553
10,0610111.002,"[[-73.99667199999999, 40.755215], [-73.99535399999999, 40.754688], [-73.99581599999999, 40.754056999999996], [-73.996304, 40.753389], [-73.999143, 40.754585], [-73.99820799999999, 40.755869], [-73.99667199999999, 40.755215]]",997,         44837,1044,147,997,672,667,88,997,41,667,541
11,0610112.031,"[[-73.969625, 40.760251], [-73.969132, 40.760929], [-73.968187, 40.762226999999996], [-73.966583, 40.761551999999995], [-73.967533, 40.760255], [-73.968024, 40.759578], [-73.969625, 40.760251]]",881,         38738,895,17,881,468,540,84,881,14,540,414
12,0610114.011,"[[-73.97004199999999, 40.765467], [-73.969585, 40.766090999999996], [-73.967974, 40.765412999999995], [-73.968431, 40.764787999999996], [-73.96888899999999, 40.764161], [-73.969337, 40.763546999999996], [-73.96980099999999, 40.762913999999995], [-73.971411, 40.763588], [-73.970957, 40.764216], [-73.97004199999999, 40.765467]]",855,         49390,867,17,855,274,462,37,855,12,462,249
