,block_tract,points,Population,Area,AllRaces,Black,Households,NonfamilyHouseholds,RelNonrel,Nonrelatives,AllRaceCounts,MixedRace,OccupiedHousing,RentedHouseholds
1,0810007.004,"[[-73.952134, 40.740893], [-73.9569, 40.741789999999995], [-73.955969, 40.744563], [-73.955741, 40.745250999999996], [-73.95100099999999, 40.744337], [-73.94876099999999, 40.743902999999996], [-73.94923, 40.742523], [-73.949928, 40.740443], [-73.952134, 40.740893]]",2047,240526,2136,91,2047,884,1070,235,2047,84,1070,664
2,0810025.003,"[[-73.94243, 40.753997999999996], [-73.944019, 40.75481], [-73.94282199999999, 40.756059], [-73.941239, 40.755234], [-73.94243, 40.753997999999996]]",1245,27587,1300,665,1245,211,534,49,1245,53,534,532
3,0810033.002,"[[-73.93612999999999, 40.751723999999996], [-73.936801, 40.751005], [-73.938333, 40.751819999999995], [-73.94243, 40.753997999999996], [-73.941239, 40.755234], [-73.93717, 40.753079], [-73.936402, 40.752672], [-73.935614, 40.752282], [-73.93612999999999, 40.751723999999996]]",429,98893,461,25,429,82,130,34,429,30,130,107
4,0810085.002,"[[-73.945814, 40.757799], [-73.944167, 40.759308], [-73.94245599999999, 40.758683], [-73.940862, 40.758111], [-73.93910000000001, 40.757494], [-73.941239, 40.755234], [-73.94282199999999, 40.756059], [-73.94435, 40.756875], [-73.945814, 40.757799]]",332,126114,339,40,332,38,83,24,332,7,83,77
8,0810001.001,"[[-73.959941, 40.744389999999996], [-73.95830000000001, 40.745731], [-73.957236, 40.74756], [-73.95492, 40.751509], [-73.951011, 40.755724], [-73.94890699999999, 40.754748], [-73.950402, 40.753012999999996], [-73.952264, 40.750566], [-73.952213, 40.749055999999996], [-73.952232, 40.748256999999995], [-73.95271199999999, 40.746876], [-73.95505, 40.747333999999995], [-73.955741, 40.745250999999996], [-73.955969, 40.744563], [-73.9569, 40.741789999999995], [-73.952134, 40.740893], [-73.949928, 40.740443], [-73.94923, 40.742523], [-73.946421, 40.741982], [-73.94419599999999, 40.742882], [-73.93925999999999, 40.744748], [-73.937264, 40.74516], [-73.937192, 40.745149], [-73.937651, 40.743305], [-73.938199, 40.740542999999995], [-73.938654, 40.738309], [-73.93869699999999, 40.738141], [-73.93965399999999, 40.738509], [-73.941446, 40.739269], [-73.94215299999999, 40.73908], [-73.942396, 40.739059], [-73.942686, 40.73914], [-73.94264, 40.739038], [-73.944237, 40.738442], [-73.947064, 40.737516], [-73.95262699999999, 40.739255], [-73.954084, 40.739446], [-73.955164, 40.739145], [-73.96118799999999, 40.737091], [-73.962795, 40.737674], [-73.96270299999999, 40.738302999999995], [-73.962503, 40.739322], [-73.961544, 40.743081], [-73.959941, 40.744389999999996]]",4949,1143608,5149,418,4949,2512,2626,680,4949,179,2626,2102
9,0810007.001,"[[-73.94806899999999, 40.745979], [-73.948523, 40.744659], [-73.94876099999999, 40.743902999999996], [-73.95100099999999, 40.744337], [-73.950307, 40.74641], [-73.949843, 40.747794], [-73.94962799999999, 40.748546], [-73.947355, 40.748107], [-73.94783699999999, 40.746669999999995], [-73.94806899999999, 40.745979]]",1163,93957,1233,78,1163,439,534,133,1163,64,534,490
10,0810007.002,"[[-73.947355, 40.748107], [-73.945056, 40.747664], [-73.945529, 40.746223], [-73.946186, 40.745613], [-73.948523, 40.744659], [-73.94806899999999, 40.745979], [-73.94783699999999, 40.746669999999995], [-73.947355, 40.748107]]",796,60575,826,26,796,356,368,114,796,28,368,298
11,0810007.003,"[[-73.950307, 40.74641], [-73.95100099999999, 40.744337], [-73.955741, 40.745250999999996], [-73.95505, 40.747333999999995], [-73.95271199999999, 40.746876], [-73.952232, 40.748256999999995], [-73.952213, 40.749055999999996], [-73.94962799999999, 40.748546], [-73.949843, 40.747794], [-73.950307, 40.74641]]",784,149958,841,26,784,329,407,86,784,49,407,294
12,0810019.001,"[[-73.939965, 40.745746], [-73.943007, 40.744602], [-73.94419599999999, 40.742882], [-73.946421, 40.741982], [-73.94923, 40.742523], [-73.94876099999999, 40.743902999999996], [-73.948523, 40.744659], [-73.946186, 40.745613], [-73.945529, 40.746223], [-73.945056, 40.747664], [-73.947355, 40.748107], [-73.94962799999999, 40.748546], [-73.952213, 40.749055999999996], [-73.952264, 40.750566], [-73.950402, 40.753012999999996], [-73.94890699999999, 40.754748], [-73.946406, 40.753598], [-73.945234, 40.75307], [-73.944268, 40.752618], [-73.943963, 40.752396], [-73.942872, 40.751956], [-73.94199499999999, 40.751540999999996], [-73.940531, 40.750811999999996], [-73.939607, 40.750411], [-73.937906, 40.749595], [-73.937366, 40.748892], [-73.93678299999999, 40.748376], [-73.939965, 40.745746]]",1076,882568,1126,55,1076,466,548,133,1076,47,548,279
13,0810025.002,"[[-73.94567599999999, 40.755657], [-73.94435, 40.756875], [-73.94282199999999, 40.756059], [-73.944019, 40.75481], [-73.94567599999999, 40.755657]]",1170,28220,1229,636,1170,136,448,31,1170,48,448,443
