,block_tract,points,Population,Area,AllRaces,Black,Households,NonfamilyHouseholds,RelNonrel,Nonrelatives,AllRaceCounts,MixedRace,OccupiedHousing,RentedHouseholds
0,0470519.002,"[[-73.95434, 40.714072], [-73.954656, 40.714075], [-73.95533, 40.714073], [-73.95599399999999, 40.714092], [-73.95626899999999, 40.714158999999995], [-73.95822299999999, 40.715374], [-73.95762599999999, 40.715927], [-73.957031, 40.716483], [-73.956439, 40.717031999999996], [-73.953865, 40.715433], [-73.952793, 40.714763], [-73.953411, 40.714220999999995], [-73.953583, 40.71407], [-73.95434, 40.714072]]",1060,         82585,1092,21,1060,627,546,198,1060,29,546,456
1,0470519.003,"[[-73.95533, 40.714073], [-73.954656, 40.714075], [-73.95434, 40.714072], [-73.95506499999999, 40.712866], [-73.95547599999999, 40.712266], [-73.95680999999999, 40.712756], [-73.958342, 40.713305999999996], [-73.959797, 40.713887], [-73.959486, 40.714192], [-73.959277, 40.71439], [-73.95822299999999, 40.715374], [-73.95626899999999, 40.714158999999995], [-73.95599399999999, 40.714092], [-73.95533, 40.714073]]",1050,         72264,1095,38,1050,640,507,205,1050,43,507,444
2,0470523.003,"[[-73.959064, 40.712165999999996], [-73.959533, 40.711424], [-73.959943, 40.710786999999996], [-73.960388, 40.710056], [-73.961238, 40.710234], [-73.962, 40.710432999999995], [-73.961421, 40.711349], [-73.961029, 40.711968999999996], [-73.960561, 40.712713], [-73.959064, 40.712165999999996]]",1214,         38048,1260,70,1214,415,454,163,1214,44,454,409
3,0470525.002,"[[-73.96114399999999, 40.707524], [-73.962131, 40.707623], [-73.962743, 40.707685], [-73.96257299999999, 40.708535], [-73.962414, 40.709351999999996], [-73.960825, 40.709168999999996], [-73.960984, 40.708357], [-73.96114399999999, 40.707524]]",1329,         25272,1347,49,1329,145,387,35,1329,17,387,368
4,0470545.003,"[[-73.967289, 40.707001999999996], [-73.965932, 40.707243999999996], [-73.964849, 40.707454], [-73.964393, 40.707056], [-73.965672, 40.706202999999995], [-73.965093, 40.705633999999996], [-73.965285, 40.705498999999996], [-73.965541, 40.705334], [-73.966325, 40.70483], [-73.96672699999999, 40.705523], [-73.967289, 40.707001999999996]]",2033,         36069,2075,164,2033,158,618,37,2033,41,618,585
5,0470547.002,"[[-73.96432899999999, 40.708014999999996], [-73.965938, 40.708197], [-73.965801, 40.708901999999995], [-73.964185, 40.70872], [-73.96257299999999, 40.708535], [-73.962743, 40.707685], [-73.963278, 40.707729], [-73.964421, 40.707533999999995], [-73.96432899999999, 40.708014999999996]]",1456,         25950,1468,28,1456,92,326,25,1456,11,326,282
6,0470551.002,"[[-73.962552, 40.712526], [-73.962081, 40.713269], [-73.961287, 40.714501999999996], [-73.959797, 40.713887], [-73.960561, 40.712713], [-73.961029, 40.711968999999996], [-73.962552, 40.712526]]",1196,         34304,1281,113,1196,516,548,152,1196,78,548,513
8,0470513.003,"[[-73.950994, 40.710221], [-73.950875, 40.709513], [-73.95083, 40.709143], [-73.95236, 40.709716], [-73.951968, 40.710336], [-73.95346599999999, 40.710884], [-73.95463699999999, 40.711324], [-73.954303, 40.711841], [-73.953498, 40.713122999999996], [-73.953282, 40.714079999999996], [-73.951624, 40.714065999999995], [-73.95135599999999, 40.712399], [-73.951235, 40.711692], [-73.951116, 40.710957], [-73.950994, 40.710221]]",1271,         94109,1330,69,1271,698,571,237,1271,55,571,515
9,0470513.004,"[[-73.953856, 40.710263999999995], [-73.954735, 40.710595], [-73.955133, 40.710533], [-73.95549799999999, 40.709948999999995], [-73.956859, 40.710452], [-73.956199, 40.711113], [-73.95547599999999, 40.712266], [-73.95506499999999, 40.712866], [-73.95434, 40.714072], [-73.953583, 40.71407], [-73.95332599999999, 40.714095], [-73.953282, 40.714079999999996], [-73.953498, 40.713122999999996], [-73.954303, 40.711841], [-73.95463699999999, 40.711324], [-73.95346599999999, 40.710884], [-73.951968, 40.710336], [-73.95236, 40.709716], [-73.953856, 40.710263999999995]]",987,         70982,1081,88,987,254,378,93,987,83,378,369
10,0470523.001,"[[-73.95800299999999, 40.710864], [-73.957535, 40.711608999999996], [-73.95680999999999, 40.712756], [-73.95547599999999, 40.712266], [-73.956199, 40.711113], [-73.956859, 40.710452], [-73.958418, 40.7102], [-73.95800299999999, 40.710864]]",1590,         32708,1681,140,1590,585,655,188,1590,86,655,641
